CPU Usage, Resident Set Size, Virtual Memory Size, Number of File Descriptors
CPU Usage, Resident Set Size, Virtual Memory Size, Number of File Descriptors
CPU Usage, Resident Set Size, Virtual Memory Size, Number of File Descriptors
0.0, 0, 544768, 3
0.0, 0, 0, CPU Usage, Resident Set Size, Virtual Memory Size, Number of File Descriptors
0.0, 0, 544768, 3
0.0, 0, 0, CPU Usage, Resident Set Size, Virtual Memory Size, Number of File Descriptors
0.0, 1048576, 2965504, 3
0.0, 0, 0, CPU Usage, Resident Set Size, Virtual Memory Size, Number of File Descriptors
0.0, 655360, 2899968, 3
0.0, 0, 0, 